original_val,count
0,2361903
1,3940721
2,3913285
3,1957695
4,930504
5,589118
6,322498
7,221568
8,149653
9,107327
10,81707
11,62858
12,49195
13,39229
14,33225
15,28828
16,23487
17,21934
18,18159
19,16158
20,14147
21,12295
22,11252
23,9856
24,8322
25,7331
26,6251
27,5300
28,4667
29,3746
30,3207
31,2595
32,2194
33,1718
34,1459
35,1144
36,910
37,726
38,542
39,440
40,344
41,270
42,229
43,169
44,142
45,116
46,111
47,77
48,62
49,53
50,39
51,38
52,36
53,24
54,21
55,24
56,26
57,17
58,8
59,13
60,13
61,10
62,2
63,9
65,3
66,1
67,2
68,1
